id,niqqudless,stressed,phrase,ind
1,תרד,ת֫רד,שמתי קצת תרד טרי בתוך הפשטידה.,1
2,תרד,ת֫רד,כדאי להוסיף לתרד טיפה של לימון לפני ההגשה.,2
3,תרד,ת֫רד,אמא שלי מכינה סלט עדשים עם תרד ועגבניות מיובשות.,3
4,תרד,ת֫רד,"בתרד יש הרבה ברזל, מה שטוב למי שסובל מאנמיה.",4
5,תרד,ת֫רד,אני מגדל תרד בגינה הקטנה שמאחורי הבית.,5
6,תרד,ת֫רד,יש במסעדה הזו פסטה מעולה עם רוטב שמנת ותרד.,6
7,תרד,ת֫רד,"עדיף לבשל את התרד רק כמה דקות, אחרת הוא מאבד מהערך התזונתי.",7
8,תרד,ת֫רד,"לא היה תרד בסופר, אז קניתי כרוב עלים במקום.",8
9,תרד,ת֫רד,"כשהיא הייתה קטנה, היא חשבה שתרד זה מה שפופאי אוכל.",9
10,תרד,ת֫רד,אל תשכח להפשיר את התרד הקפוא לפני השימוש.,10
11,תרד,ת֫רד,הכנתי פשטידת תרד עם בולגרית ובצק עלים.,11
12,תרד,ת֫רד,נשאר קצת מהתרד של אתמול.,12
13,תרד,ת֫רד,אני מוסיף לתרד גם שום וגרידת לימון – זה עושה פלאים.,13
14,תרד,ת֫רד,"בתרד יש הרבה ברזל, אבל לא תמיד הוא נספג טוב.",14
15,תרד,ת֫רד,לתרד יש טעם עדין שמתאים כמעט לכל תבשיל.,15
16,תרד,ת֫רד,"אל תרד אין לי אלרגיה, אבל למנגולד כן.",16
17,תרד,ת֫רד,יש במקרר שאריות מתרד מבושל מאתמול.,17
18,תרד,ת֫רד,הבצק ממולא בתרד ובצל מטוגן.,18
19,תרד,ת֫רד,"אתמול הכנו שייק ירוק עם תרד, תפוח ולימון.",19
20,תרד,ת֫רד,"במרק הזה יש תרד, חומוס וקינואה.",20
21,תרד,תר֫ד,אני מקווה שלא תרד ברמה אחרי ההצלחה הזאת.,1
22,תרד,תר֫ד,"כשתרד מהאוטובוס, תחכה לי בתחנה.",2
23,תרד,תר֫ד,שלא תרד על עצמך כל כך – עשית כמיטב יכולתך.,3
24,תרד,תר֫ד,"וכשתרד דרומה, תוכל לבקר את המשפחה שלי באילת.",4
25,תרד,תר֫ד,"תרד בבקשה מהמיטה, צריך להחליף מצעים.",5
26,תרד,תר֫ד,"רק אל תרד לרמה שלהם, זה לא שווה את זה.",6
27,תרד,תר֫ד,אל תרד לבד למרתף – החשמל מקולקל.,7
28,תרד,תר֫ד,תרד מהרעיון הזה – הוא לא ישים כרגע.,8
29,תרד,תר֫ד,"אל תרד לרמה שלו, שמור על כבודך.",9
30,תרד,תר֫ד,"אם אתה מתעייף, פשוט תרד מהאופניים ותנוח.",10
31,תרד,תר֫ד,ברגע שתבין שהוא לא רוצה – היא תרד מזה.,11
32,תרד,תר֫ד,"אל תרד לפרטים מיותרים, דבר תכלס.",12
33,תרד,תר֫ד,"תרד לקרקע המציאות, זה לא יקרה.",13
34,תרד,תר֫ד,הקבוצה תרד ליגה אם תפסיד שוב.,14
35,תרד,תר֫ד,אני מבקש שתרד איתי לדבר רגע מחוץ לחדר.,15
36,תרד,תר֫ד,"ותרד סוף־סוף מהנושא הזה, כבר דיברנו עליו מספיק.",16
37,תרד,תר֫ד,"תרד במעלית רק עד הקומה הראשונה, משם נלך ברגל.",17
38,תרד,תר֫ד,תרד למטה לבדוק אם השליח כבר הגיע.,18
39,תרד,תר֫ד,תרד לזרוק את הזבל לפני שהריח יתפשט בכל הבית.,19
40,תרד,תר֫ד,"תרד מהרעיון הזה, זה פשוט לא מתאים לתקציב שלנו.",20
41,בנו,ב֫נו,יש משהו בילדות שממשיך לחיות בנו גם כשאנחנו גדלים.,1
42,בנו,ב֫נו,הכאב ההוא נשאר בנו הרבה אחרי שהכול נגמר.,2
43,בנו,ב֫נו,לפעמים יש פחד קטן כזה שמסתתר בנו בלי שנרגיש.,3
44,בנו,ב֫נו,השאלה הזו יושבת בנו כבר הרבה זמן.,4
45,בנו,ב֫נו,לא תמיד אנחנו מבינים מה מתרחש בנו באמת.,5
46,בנו,ב֫נו,ההחלטות החשובות באמת מתגבשות בנו בשקט.,6
47,בנו,ב֫נו,התקווה הזו מתעוררת בנו בכל פעם שאנחנו מתחילים משהו חדש.,7
48,בנו,ב֫נו,הזיכרונות ההם חיים בנו גם אם לא מדברים עליהם.,8
49,בנו,ב֫נו,משהו בנאום הזה נגע בנו וגרם לנו לחשוב אחרת.,9
50,בנו,ב֫נו,"הכוחות האלה לא הגיעו מבחוץ, הם תמיד היו בנו.",10
51,בנו,ב֫נו,"גם אחרי כל מה שעברנו, נשאר בנו גרעין של אמונה.",11
52,בנו,ב֫נו,משהו בנו לא נותן לנו לוותר.,12
53,בנו,ב֫נו,יש תחושת שליחות שממש בוערת בנו לאחרונה.,13
54,בנו,ב֫נו,הביטחון הזה צמח בנו עם הזמן.,14
55,בנו,ב֫נו,הכאב הזה לא שוכן רק בזיכרון – הוא חי ממש בנו.,15
56,בנו,ב֫נו,"האהבה הזו עדיין קיימת איפשהו בנו, גם אם לא נודה בזה",16
57,בנו,ב֫נו,"בזמנים שבהם הראש מתבלבל – אנחנו עוצרים לרגע, ונזכרים בשקט שבנו.",17
58,בנו,ב֫נו,"אנחנו לוקחים נשימה עמוקה, ונזכרים באומץ שבנו שלא נעלם.",18
59,בנו,ב֫נו,"בהם שוררת סערה, ובנו שוכן שקט רגוע  עמוק.",19
60,בנו,ב֫נו,"בחוויות שהם חולקים בהם יש הרבה רעש, ואילו בחוויות שלנו ובנו יש שקט רב.",20
61,בנו,בנ֫ו,האדריכלים בנו את הבית במהירות ובמקצועיות רבה.,1
62,בנו,בנ֫ו,האחים בנו יחד צימר קטן ליד הנחל.,2
63,בנו,בנ֫ו,בנו עוד קומה בבניין כי כבר לא היה מקום.,3
64,בנו,בנ֫ו,בנו את התחנה הזו בשנות החמישים והיא עדיין פעילה.,4
65,בנו,בנ֫ו,המתנדבים בנו גשר עץ זמני כדי שנוכל לעבור.,5
66,בנו,בנ֫ו,לפני החורף בנו סככה חדשה לרכב.,6
67,בנו,בנ֫ו,בנו כיתה נוספת כי מספר התלמידים עלה.,7
68,בנו,בנ֫ו,המהנדסים בנו מערכת ניקוז חכמה במיוחד.,8
69,בנו,בנ֫ו,השכנים בנו גדר גבוהה בלי לשאול אף אחד.,9
70,בנו,בנ֫ו,"בנו את המגרש הזה לפני עשרים שנה, ומאז לא שיפצו אותו.",10
71,בנו,בנ֫ו,בנו גשר תלוי על מנת לחבר בין שני האזורים בעיר.,11
72,בנו,בנ֫ו,הם בנו אולם ספורט ענק ליד בית הספר התיכון.,12
73,בנו,בנ֫ו,בנו במה מאולתרת ממש ערב לפני ההופעה.,13
74,בנו,בנ֫ו,"הם בנו את העסק שלהם מאפס, בלי עזרה מאף אחד.",14
75,בנו,בנ֫ו,בנו את כל האזור הזה על חורבות של שכונה ישנה.,15
76,בנו,בנ֫ו,הילדים בנו סוכה לבד בלי עזרה של ההורים,16
77,בנו,בנ֫ו,"כשבנו את הבית, עוד לא ידעו אם בכלל יגורו בו.",17
78,בנו,בנ֫ו,אף אחד לא האמין שבנו את כל זה רק בחודש אחד.,18
79,בנו,בנ֫ו,שכחו להשאיר גישה לנכים כשבנו את הכניסה הצדדית.,19
80,בנו,בנ֫ו,"השכנים כעסו ובנו גדר משלהם, גבוהה יותר.",20
81,גרושים,גר֫ושים,שילמתי על הקפה כמה גרושים וזה היה שווה כל אגורה.,1
