id,niqqudless,stressed,phrase,ind
llm1_1,תרד,ת֫רד,שמתי קצת תרד טרי בתוך הפשטידה.,1
llm1_2,תרד,ת֫רד,כדאי להוסיף לתרד טיפה של לימון לפני ההגשה.,2
llm1_3,תרד,ת֫רד,אמא שלי מכינה סלט עדשים עם תרד ועגבניות מיובשות.,3
llm1_4,תרד,ת֫רד,"בתרד יש הרבה ברזל, מה שטוב למי שסובל מאנמיה.",4
llm1_5,תרד,ת֫רד,אני מגדל תרד בגינה הקטנה שמאחורי הבית.,5
llm1_6,תרד,ת֫רד,יש במסעדה הזו פסטה מעולה עם רוטב שמנת ותרד.,6
llm1_7,תרד,ת֫רד,"עדיף לבשל את התרד רק כמה דקות, אחרת הוא מאבד מהערך התזונתי.",7
llm1_8,תרד,ת֫רד,"לא היה תרד בסופר, אז קניתי כרוב עלים במקום.",8
llm1_9,תרד,ת֫רד,"כשהיא הייתה קטנה, היא חשבה שתרד זה מה שפופאי אוכל.",9
llm1_10,תרד,ת֫רד,אל תשכח להפשיר את התרד הקפוא לפני השימוש.,10
llm1_11,תרד,ת֫רד,הכנתי פשטידת תרד עם בולגרית ובצק עלים.,11
llm1_12,תרד,ת֫רד,נשאר קצת מהתרד של אתמול.,12
llm1_13,תרד,ת֫רד,אני מוסיף לתרד גם שום וגרידת לימון – זה עושה פלאים.,13
llm1_14,תרד,ת֫רד,"בתרד יש הרבה ברזל, אבל לא תמיד הוא נספג טוב.",14
llm1_15,תרד,ת֫רד,לתרד יש טעם עדין שמתאים כמעט לכל תבשיל.,15
llm1_16,תרד,ת֫רד,"אל תרד אין לי אלרגיה, אבל למנגולד כן.",16
llm1_17,תרד,ת֫רד,יש במקרר שאריות מתרד מבושל מאתמול.,17
llm1_18,תרד,ת֫רד,הבצק ממולא בתרד ובצל מטוגן.,18
llm1_19,תרד,ת֫רד,"אתמול הכנו שייק ירוק עם תרד, תפוח ולימון.",19
llm1_20,תרד,ת֫רד,"במרק הזה יש תרד, חומוס וקינואה.",20
llm1_21,תרד,תר֫ד,אני מקווה שלא תרד ברמה אחרי ההצלחה הזאת.,1
llm1_22,תרד,תר֫ד,"כשתרד מהאוטובוס, תחכה לי בתחנה.",2
llm1_23,תרד,תר֫ד,שלא תרד על עצמך כל כך – עשית כמיטב יכולתך.,3
llm1_24,תרד,תר֫ד,"וכשתרד דרומה, תוכל לבקר את המשפחה שלי באילת.",4
llm1_25,תרד,תר֫ד,"תרד בבקשה מהמיטה, צריך להחליף מצעים.",5
llm1_26,תרד,תר֫ד,"רק אל תרד לרמה שלהם, זה לא שווה את זה.",6
llm1_27,תרד,תר֫ד,אל תרד לבד למרתף – החשמל מקולקל.,7
llm1_28,תרד,תר֫ד,תרד מהרעיון הזה – הוא לא ישים כרגע.,8
llm1_29,תרד,תר֫ד,"אל תרד לרמה שלו, שמור על כבודך.",9
llm1_30,תרד,תר֫ד,"אם אתה מתעייף, פשוט תרד מהאופניים ותנוח.",10
llm1_31,תרד,תר֫ד,ברגע שתבין שהוא לא רוצה – היא תרד מזה.,11
llm1_32,תרד,תר֫ד,"אל תרד לפרטים מיותרים, דבר תכלס.",12
llm1_33,תרד,תר֫ד,"תרד לקרקע המציאות, זה לא יקרה.",13
llm1_34,תרד,תר֫ד,הקבוצה תרד ליגה אם תפסיד שוב.,14
llm1_35,תרד,תר֫ד,אני מבקש שתרד איתי לדבר רגע מחוץ לחדר.,15
llm1_36,תרד,תר֫ד,"ותרד סוף־סוף מהנושא הזה, כבר דיברנו עליו מספיק.",16
llm1_37,תרד,תר֫ד,"תרד במעלית רק עד הקומה הראשונה, משם נלך ברגל.",17
llm1_38,תרד,תר֫ד,תרד למטה לבדוק אם השליח כבר הגיע.,18
llm1_39,תרד,תר֫ד,תרד לזרוק את הזבל לפני שהריח יתפשט בכל הבית.,19
llm1_40,תרד,תר֫ד,"תרד מהרעיון הזה, זה פשוט לא מתאים לתקציב שלנו.",20
llm1_41,בנו,ב֫נו,יש משהו בילדות שממשיך לחיות בנו גם כשאנחנו גדלים.,1
llm1_42,בנו,ב֫נו,הכאב ההוא נשאר בנו הרבה אחרי שהכול נגמר.,2
llm1_43,בנו,ב֫נו,לפעמים יש פחד קטן כזה שמסתתר בנו בלי שנרגיש.,3
llm1_44,בנו,ב֫נו,השאלה הזו יושבת בנו כבר הרבה זמן.,4
llm1_45,בנו,ב֫נו,לא תמיד אנחנו מבינים מה מתרחש בנו באמת.,5
llm1_46,בנו,ב֫נו,ההחלטות החשובות באמת מתגבשות בנו בשקט.,6
llm1_47,בנו,ב֫נו,התקווה הזו מתעוררת בנו בכל פעם שאנחנו מתחילים משהו חדש.,7
llm1_48,בנו,ב֫נו,הזיכרונות ההם חיים בנו גם אם לא מדברים עליהם.,8
llm1_49,בנו,ב֫נו,משהו בנאום הזה נגע בנו וגרם לנו לחשוב אחרת.,9
llm1_50,בנו,ב֫נו,"הכוחות האלה לא הגיעו מבחוץ, הם תמיד היו בנו.",10
llm1_51,בנו,ב֫נו,"גם אחרי כל מה שעברנו, נשאר בנו גרעין של אמונה.",11
llm1_52,בנו,ב֫נו,משהו בנו לא נותן לנו לוותר.,12
llm1_53,בנו,ב֫נו,יש תחושת שליחות שממש בוערת בנו לאחרונה.,13
llm1_54,בנו,ב֫נו,הביטחון הזה צמח בנו עם הזמן.,14
llm1_55,בנו,ב֫נו,הכאב הזה לא שוכן רק בזיכרון – הוא חי ממש בנו.,15
llm1_56,בנו,ב֫נו,"האהבה הזו עדיין קיימת איפשהו בנו, גם אם לא נודה בזה",16
llm1_57,בנו,ב֫נו,"בזמנים שבהם הראש מתבלבל – אנחנו עוצרים לרגע, ונזכרים בשקט שבנו.",17
llm1_58,בנו,ב֫נו,"אנחנו לוקחים נשימה עמוקה, ונזכרים באומץ שבנו שלא נעלם.",18
llm1_59,בנו,ב֫נו,"בהם שוררת סערה, ובנו שוכן שקט רגוע  עמוק.",19
llm1_60,בנו,ב֫נו,"בחוויות שהם חולקים בהם יש הרבה רעש, ואילו בחוויות שלנו ובנו יש שקט רב.",20
llm1_61,בנו,בנ֫ו,האדריכלים בנו את הבית במהירות ובמקצועיות רבה.,1
llm1_62,בנו,בנ֫ו,האחים בנו יחד צימר קטן ליד הנחל.,2
llm1_63,בנו,בנ֫ו,בנו עוד קומה בבניין כי כבר לא היה מקום.,3
llm1_64,בנו,בנ֫ו,בנו את התחנה הזו בשנות החמישים והיא עדיין פעילה.,4
llm1_65,בנו,בנ֫ו,המתנדבים בנו גשר עץ זמני כדי שנוכל לעבור.,5
llm1_66,בנו,בנ֫ו,לפני החורף בנו סככה חדשה לרכב.,6
llm1_67,בנו,בנ֫ו,בנו כיתה נוספת כי מספר התלמידים עלה.,7
llm1_68,בנו,בנ֫ו,המהנדסים בנו מערכת ניקוז חכמה במיוחד.,8
llm1_69,בנו,בנ֫ו,השכנים בנו גדר גבוהה בלי לשאול אף אחד.,9
llm1_70,בנו,בנ֫ו,"בנו את המגרש הזה לפני עשרים שנה, ומאז לא שיפצו אותו.",10
llm1_71,בנו,בנ֫ו,בנו גשר תלוי על מנת לחבר בין שני האזורים בעיר.,11
